Id,Date,Sample,PDF Type,Target Type,Target Params,Model Type,R2 Score,Train Epoch,Batch Size,Learning Rate,N Layer,N Neurons,Loss Type,Dimension,Max Error,MSE Score,EVS Score,ISE Score,KL Score,Title,PDF params,Model params,Target params,Seed
27c117,2024-03-27 22-30,100,MULTIVARIATE_1254,,None,GMM,0.2388,,,,,,,1,0.1707,0.0023,0.2401,85.9788,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 6, 'n_init': 41, 'max_iter': 203, 'init_params': 'k-means++', 'random_state': 85}",,36
ce3948,2024-03-27 22-30,100,MULTIVARIATE_1254,,None,Parzen Window,0.7807,,,,,,,1,0.1237,0.0007,0.7817,57.9858,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",{'h': 0.31652534663179266},,36
6a6112,2024-03-27 22-53,100,MULTIVARIATE_1254,,None,GMM,-0.7974,,,,,,,1,0.3769,0.0055,-0.7965,119.1889,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 10, 'n_init': 100, 'max_iter': 100, 'init_params': 'k-means++', 'random_state': 85}",,36
50bd47,2024-03-27 22-55,100,MULTIVARIATE_1254,,None,GMM,-0.0425,,,,,,,1,0.2052,0.0032,-0.0413,94.9787,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 6, 'n_init': 100, 'max_iter': 100, 'init_params': 'k-means++', 'random_state': 85}",,36
5075ab,2024-03-27 22-55,100,MULTIVARIATE_1254,,None,GMM,-0.062,,,,,,,1,0.1998,0.0032,-0.0616,83.0914,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 4, 'n_init': 100, 'max_iter': 100, 'init_params': 'k-means++', 'random_state': 85}",,36
ab757d,2024-03-27 23-16,100,MULTIVARIATE_1254,,None,GMM,0.3641,,,,,,,1,0.1698,0.0019,0.3645,74.8098,0.1609,Experiment C14 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'n_components': 4, 'n_init': 11, 'max_iter': 684, 'init_params': 'kmeans', 'random_state': 69}",,36
2d5f24,2024-03-28 00-40,100,MULTIVARIATE_1254,,None,Parzen Window,0.7974,,,,,,,1,0.1288,0.0006,0.7998,53.9288,0.1609,Experiment  H0.3795755152130492 S100,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]",{'h': 0.3795755152130492},,72
9f365b,2024-03-28 01-15,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.7145,,,,,,,1,0.0953,0.0009,0.7287,0.0088,0.0475,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.457993939},72
7c3f12,2024-03-28 01-18,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.7408,,,,,,,1,0.1202,0.0008,0.7485,0.008,0.0377,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.457993939},72
c5fced,2024-03-28 01-47,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.6055,,,,,,,1,0.132,0.0012,0.6073,0.0121,0.0666,Experiment  H0.457993939 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.457993939},72
cf9aa0,2024-03-28 01-54,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.7885,,,,,,,1,0.1077,0.0007,0.7889,0.0065,0.0362,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.3795755152130492},72
cbefb3,2024-03-28 01-59,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.7554,,,,,,,1,0.1016,0.0008,0.7601,0.0075,0.0387,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.3795755152130492},72
630f26,2024-03-28 02-04,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.8309,350,2,0.000438031,4,,huber_loss,1,0.1161,0.0005,0.841,0.0052,0.0224,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU()), (28, ReLU()), (58, Tanh())], 'last_activation': None}",{'h': 0.3795755152130492},72
c6aa40,2024-03-28 02-16,100,MULTIVARIATE_1254,PARZEN,None,Parzen Window + NN,0.8154,,,,,,,1,0.1064,0.0006,0.8157,0.0057,0.028,Experiment  H0.36197695 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(52, ReLU()), (40, ReLU())], 'last_activation': 'lambda'}",{'h': 0.36197695},82
adbb47,2024-03-28 02-26,100,MULTIVARIATE_1254,PARZEN,Parzen H0.36197695,Parzen Window + NN,0.1389,20,2,0.0052784027,2,92,huber_loss,1,0.1348,0.0027,0.3672,0.0265,0.0981,Experiment  H0.36197695 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(52, ReLU()), (40, ReLU())], 'last_activation': 'lambda'}",{'h': 0.36197695},82
707b2d,2024-03-28 02-29,100,MULTIVARIATE_1254,PARZEN,H0.36197695,Parzen Window + NN,0.1389,20,2,0.0052784027,2,92,mse_loss,1,0.1348,0.0027,0.3672,0.0265,0.0981,Experiment  H0.36197695 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(52, ReLU()), (40, ReLU())], 'last_activation': 'lambda'}",{'h': 0.36197695},82
61c4f5,2024-03-28 02-30,100,MULTIVARIATE_1254,PARZEN,H0.36197695,Parzen Window + NN,0.7914,200,20,0.0052784027,2,92,mse_loss,1,0.1069,0.0006,0.7975,0.0064,0.0378,Experiment  H0.36197695 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(52, ReLU()), (40, ReLU())], 'last_activation': 'lambda'}",{'h': 0.36197695},82
94bc3e,2024-03-28 02-37,100,MULTIVARIATE_1254,PARZEN,H0.3795755152130492,Parzen Window + NN,0.7526,400,20,0.0052784027,2,116,huber_loss,1,0.1117,0.0008,0.771,0.0076,0.037,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU())], 'last_activation': 'lambda'}",{'h': 0.3795755152130492},82
e32692,2024-03-28 02-39,100,MULTIVARIATE_1254,GMM,kmeans C4 ,GMM + NN,0.6283,400,20,0.0052784027,2,116,huber_loss,1,0.1435,0.0012,0.6306,0.0114,0.0626,Experiment  C4 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU())], 'last_activation': 'lambda'}","{'n_components': 4, 'n_init': 11, 'max_iter': 684, 'init_params': 'kmeans', 'random_state': 82}",82
94cf62,2024-03-28 02-42,100,MULTIVARIATE_1254,GMM,kmeans C6 ,GMM + NN,0.6552,400,20,0.0052784027,2,116,huber_loss,1,0.1516,0.0011,0.7382,0.0106,0.0473,Experiment  C6 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(56, Tanh()), (60, ReLU())], 'last_activation': 'lambda'}","{'n_components': 6, 'n_init': 50, 'max_iter': 200, 'init_params': 'kmeans', 'random_state': 82}",82
Infinity,2024-03-28 02-50,100,MULTIVARIATE_1254,PARZEN,H0.4454,Parzen Window + NN,0.7946,720,4,0.00412264,3,108,huber_loss,1,0.1189,0.0006,0.8176,0.0063,0.0256,Experiment  H0.4454 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(16, ReLU()), (56, Tanh()), (36, ReLU())], 'last_activation': 'lambda'}",{'h': 0.4454},42
20a9e5,2024-03-28 02-59,100,MULTIVARIATE_1254,PARZEN,H0.3795755152130492,Parzen Window + NN,0.7809,720,4,0.00412264,3,108,huber_loss,1,0.1153,0.0007,0.7842,0.0067,0.0341,Experiment  H0.3795755152130492 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(16, ReLU()), (56, Tanh()), (36, ReLU())], 'last_activation': 'lambda'}",{'h': 0.3795755152130492},42
9de17d,2024-03-28 12-09,100,MULTIVARIATE_1254,GMM,k-means++ C7 ,GMM + NN,0.8524,700,10,0.0023067,2,90,huber_loss,1,0.0883,0.0005,0.8618,0.0045,0.0228,Experiment  C7 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, ReLU()), (26, Tanh())], 'last_activation': 'lambda'}","{'n_components': 7, 'n_init': 30, 'max_iter': 30, 'init_params': 'k-means++', 'random_state': 42}",42
Infinity,2024-03-28 12-46,100,MULTIVARIATE_1254,GMM,kmeans C7 ,GMM + NN,0.8485,700,10,0.0023067,2,90,huber_loss,1,0.0886,0.0005,0.8588,0.0047,0.0231,Experiment  C7 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, ReLU()), (26, Tanh())], 'last_activation': 'lambda'}","{'n_components': 7, 'n_init': 30, 'max_iter': 100, 'init_params': 'kmeans', 'random_state': 42}",42
28bb6b,2024-03-28 12-50,100,MULTIVARIATE_1254,GMM,kmeans C7 ,GMM + NN,0.489,700,2,0.0023067,2,90,huber_loss,1,0.1341,0.0016,0.489,0.0157,0.0873,Experiment  C7 S150,"[[{'type': 'exponential', 'rate': 1, 'weight': 0.2}, {'type': 'logistic', 'mean': 4, 'scale': 0.8, 'weight': 0.25}, {'type': 'logistic', 'mean': 5.5, 'scale': 0.7, 'weight': 0.3}, {'type': 'exponential', 'mean': -1, 'weight': 0.25, 'shift': -10}]]","{'dropout': 0.0, 'hidden_layer': [(64, ReLU()), (26, Tanh())], 'last_activation': 'lambda'}","{'n_components': 7, 'n_init': 30, 'max_iter': 100, 'init_params': 'kmeans', 'random_state': 42}",42
